broadcast,song_name,datetime
rmf-fm,Lana Del Rey - Summertime sadness,10-03-20 01:06
rmf-fm,Varius Manx - Przebudzenie,10-03-20 01:10
rmf-fm,Sanah - Szampan,10-03-20 01:16
rmf-fm,Sheppard - Geronimo,10-03-20 01:20
rmf-fm,Filip Lato - Halo ziemia,10-03-20 01:26
rmf-fm,Kshmr & Marnik - Alone,10-03-20 01:30
rmf-fm,Lemon - Jutro,10-03-20 01:36
rmf-fm,Grzegorz Hyży‚ Tabb - Na chwilę,10-03-20 01:40
rmf-fm,Patryk Skoczyński - Dom,10-03-20 01:46
rmf-fm,De Mono - Kochać inaczej,10-03-20 01:53
rmf-fm,Los Lobos - Cancion del mariachi (morena de mi corazon),10-03-20 01:59
rmf-fm,Jonas Blue‚ Jp Cooper - Perfect strangers,09-03-20 00:07
rmf-fm,Loka - Prawdziwe powietrze,09-03-20 00:09
rmf-fm,Foothills Feat. Dominique Le Mon - For good,09-03-20 00:23
rmf-fm,Sylver - Lay all your love on me,09-03-20 00:26
rmf-fm,Myslovitz - Scenariusz dla moich sąsiadów,09-03-20 00:30
rmf-fm,Enej - Ostatni raz,09-03-20 00:34
rmf-fm,Shawn Mendes - There's nothing holdin' me back,09-03-20 00:40
rmf-fm,Piotr Cugowski - Daj mi zyc,09-03-20 00:43
rmf-fm,Mig / Felix Jaehn / Vize - Close your eyes,09-03-20 00:48
rmf-fm,De Mono - Wszystko jest na sprzedaż,09-03-20 00:51
rmf-fm,Ania - Tego chcialam,09-03-20 00:56
rmf-fm,Ania - Tego chcialam,09-03-20 00:57
rmf-fm,Ania - Tego chcialam,09-03-20 00:57
rmf-fm,Queen - I want to break free,09-03-20 01:04
rmf-fm,Viki Gabor / Kayah - Ramie w ramie,09-03-20 01:09
rmf-fm,Viki Gabor / Kayah - Ramie w ramie,09-03-20 01:10
rmf-fm,Chris Rea - The road to hell,09-03-20 01:14
rmf-fm,Jamal - Policeman,09-03-20 01:20
rmf-fm,Anna Wyszkoni - Lampa i sofa,09-03-20 01:28
rmf-fm,Camila Cabello - My oh my,09-03-20 01:32
rmf-fm,Dj Bobo - Somebody dance with me,08-03-20 00:06
rmf-fm,N'trance & Rod Stewart - Da ya think i'm sexy,08-03-20 00:10
rmf-fm,Ava Max - Salt,08-03-20 00:14
rmf-fm,Britney Spears - Born to make you happy,08-03-20 00:18
rmf-fm,Mikolas Josef‚ Fito Blanko‚ Frankie J - Acapella,08-03-20 00:22
rmf-fm,Nana - He's comin',08-03-20 00:24
rmf-fm,Corrs - Radio,08-03-20 00:28
rmf-fm,Avicii / Kygo / Sandro Cavazza - Forever yours (avicii tribute),08-03-20 00:32
rmf-fm,Chris Isaak - Wicked game,08-03-20 00:36
